Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Catalogo,Chrome 148.0.7778.179,,,08-06-2026 21:44:25,08-06-2026 21:47:47,"3m - 21,240s",FAILED
,,,,,,,
Test Cases/Catalogo/TC_4.1_1,Chrome 148.0.7778.179,Catalogo mostra i 4 prodotti seed,"Navigazione + verifica testo (es. ""kiwi"")",08-06-2026 21:44:26,08-06-2026 21:44:31,"5,709s",PASSED
Start listener action : resetSeedBeforeTestCase,Chrome 148.0.7778.179,,,08-06-2026 21:44:26,08-06-2026 21:44:26,"0,382s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,08-06-2026 21:44:26,08-06-2026 21:44:29,"2,461s",PASSED
"navigateToUrl(base + ""ProductView.jsp"")",Chrome 148.0.7778.179,,,08-06-2026 21:44:29,08-06-2026 21:44:30,"1,434s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,08-06-2026 21:44:30,08-06-2026 21:44:31,"0,804s",PASSED
"verifyTextPresent(""SCOPRI I NOSTRI PRODOTTI"", false)",Chrome 148.0.7778.179,,,08-06-2026 21:44:31,08-06-2026 21:44:31,"0,313s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,08-06-2026 21:44:31,08-06-2026 21:44:31,"0,227s",PASSED
,,,,,,,
Test Cases/Catalogo/TC_4.1_2,Chrome 148.0.7778.179,"Catalogo vuoto → messaggio

Richiede DB svuotato → manuale/opzionale, per non alterare la baseline",,08-06-2026 21:45:06,08-06-2026 21:45:18,"11,824s",FAILED
Start listener action : resetSeedBeforeTestCase,Chrome 148.0.7778.179,,,08-06-2026 21:45:06,08-06-2026 21:45:06,"0,116s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,08-06-2026 21:45:06,08-06-2026 21:45:07,"1,316s",PASSED
"navigateToUrl(base + ""ProductView.jsp"")",Chrome 148.0.7778.179,,,08-06-2026 21:45:07,08-06-2026 21:45:09,"1,386s",PASSED
delay(2),Chrome 148.0.7778.179,,,08-06-2026 21:45:09,08-06-2026 21:45:11,"2,010s",PASSED
"navigateToUrl(base + ""product?action=delete&id=1"")",Chrome 148.0.7778.179,,,08-06-2026 21:45:11,08-06-2026 21:45:11,"0,098s",PASSED
delay(1),Chrome 148.0.7778.179,,,08-06-2026 21:45:11,08-06-2026 21:45:12,"1,018s",PASSED
"navigateToUrl(base + ""product?action=delete&id=2"")",Chrome 148.0.7778.179,,,08-06-2026 21:45:12,08-06-2026 21:45:12,"0,182s",PASSED
delay(1),Chrome 148.0.7778.179,,,08-06-2026 21:45:12,08-06-2026 21:45:13,"1,021s",PASSED
"navigateToUrl(base + ""product?action=delete&id=3"")",Chrome 148.0.7778.179,,,08-06-2026 21:45:13,08-06-2026 21:45:13,"0,162s",PASSED
delay(1),Chrome 148.0.7778.179,,,08-06-2026 21:45:13,08-06-2026 21:45:14,"1,018s",PASSED
"navigateToUrl(base + ""product?action=delete&id=4"")",Chrome 148.0.7778.179,,,08-06-2026 21:45:14,08-06-2026 21:45:14,"0,097s",PASSED
delay(2),Chrome 148.0.7778.179,,,08-06-2026 21:45:14,08-06-2026 21:45:16,"2,017s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,08-06-2026 21:45:16,08-06-2026 21:45:17,"0,625s",PASSED
"verifyTextPresent(""Non ci sono prodotti disponibili!"", false)",Chrome 148.0.7778.179,,,08-06-2026 21:45:17,08-06-2026 21:45:18,"0,724s",FAILED
,,,,,,,
Test Cases/Catalogo/TC_4.2_1,Chrome 148.0.7778.179,"Ordinare il catalogo per nome
Navigazione URL + verifica ordine",,08-06-2026 21:45:18,08-06-2026 21:45:23,"5,346s",PASSED
Start listener action : resetSeedBeforeTestCase,Chrome 148.0.7778.179,,,08-06-2026 21:45:18,08-06-2026 21:45:18,"0,130s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,08-06-2026 21:45:18,08-06-2026 21:45:19,"1,406s",PASSED
