Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Carrello,Chrome 148.0.7778.179,,,03-06-2026 15:07:03,03-06-2026 15:08:25,"1m - 22,060s",FAILED
,,,,,,,
Test Cases/Carrello/TC_5.1_1,Chrome 148.0.7778.179,"Visualizzare il carrello contenente prodotti
Aggiungi → apri carrello → verifica",,03-06-2026 15:07:03,03-06-2026 15:07:08,"5,625s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,03-06-2026 15:07:03,03-06-2026 15:07:05,"1,821s",PASSED
"navigateToUrl(base + ""cart?action=addC&id=2"")",Chrome 148.0.7778.179,,,03-06-2026 15:07:05,03-06-2026 15:07:07,"2,268s",PASSED
"navigateToUrl(base + ""CartView.jsp"")",Chrome 148.0.7778.179,,,03-06-2026 15:07:07,03-06-2026 15:07:07,"0,024s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,03-06-2026 15:07:07,03-06-2026 15:07:08,"0,568s",PASSED
"verifyTextPresent(""kiwi"", false)",Chrome 148.0.7778.179,,,03-06-2026 15:07:08,03-06-2026 15:07:08,"0,299s",PASSED
"verifyTextPresent(""79.99"", false)",Chrome 148.0.7778.179,,,03-06-2026 15:07:08,03-06-2026 15:07:08,"0,263s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,03-06-2026 15:07:08,03-06-2026 15:07:08,"0,166s",PASSED
,,,,,,,
Test Cases/Carrello/TC_5.1_2,Chrome 148.0.7778.179,"Visualizzare il carrello vuoto
Aggiungi → apri carrello → verifica",,03-06-2026 15:07:08,03-06-2026 15:07:11,"2,443s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,03-06-2026 15:07:08,03-06-2026 15:07:09,"0,804s",PASSED
"navigateToUrl(base + ""CartView.jsp"")",Chrome 148.0.7778.179,,,03-06-2026 15:07:09,03-06-2026 15:07:10,"0,914s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,03-06-2026 15:07:10,03-06-2026 15:07:10,"0,283s",PASSED
"verifyTextPresent(""0.00"", false)",Chrome 148.0.7778.179,,,03-06-2026 15:07:10,03-06-2026 15:07:11,"0,271s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,03-06-2026 15:07:11,03-06-2026 15:07:11,"0,142s",PASSED
,,,,,,,
Test Cases/Carrello/TC_5.2_1,Chrome 148.0.7778.179,"Aggiungere al carrello un prodotto non ancora presente
URL cart?action=addC&id=.. + verifica",,03-06-2026 15:07:11,03-06-2026 15:07:13,"2,425s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,03-06-2026 15:07:11,03-06-2026 15:07:12,"0,785s",PASSED
"navigateToUrl(base + ""cart?action=addC&id=2"")",Chrome 148.0.7778.179,,,03-06-2026 15:07:12,03-06-2026 15:07:12,"0,650s",PASSED
"navigateToUrl(base + ""CartView.jsp"")",Chrome 148.0.7778.179,,,03-06-2026 15:07:12,03-06-2026 15:07:12,"0,032s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,03-06-2026 15:07:12,03-06-2026 15:07:13,"0,529s",PASSED
"verifyTextPresent(""kiwi"", false)",Chrome 148.0.7778.179,,,03-06-2026 15:07:13,03-06-2026 15:07:13,"0,253s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,03-06-2026 15:07:13,03-06-2026 15:07:13,"0,149s",PASSED
,,,,,,,
Test Cases/Carrello/TC_5.2_2,Chrome 148.0.7778.179,"Aggiungere un prodotto già presente (sotto la disponibilità)
URL cart?action=addC&id=.. + verifica",,03-06-2026 15:07:54,03-06-2026 15:07:59,"4,643s",FAILED
"openBrowser("""")",Chrome 148.0.7778.179,,,03-06-2026 15:07:54,03-06-2026 15:07:59,"4,634s",FAILED
,,,,,,,
Test Cases/Carrello/TC_5.2_3,Chrome 148.0.7778.179,"Aggiungere un prodotto già presente alla quantità massima disponibile
URL cart?action=addC&id=.. + verifica",,03-06-2026 15:08:03,03-06-2026 15:08:06,"2,233s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,03-06-2026 15:08:03,03-06-2026 15:08:04,"0,542s",PASSED
