Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Catalogo,Chrome 149.0.7827.103,,,17-06-2026 18:15:21,17-06-2026 18:17:15,"1m - 53,956s",ERROR
,,,,,,,
Test Cases/Catalogo/TC_4.1_1,Chrome 149.0.7827.103,Catalogo mostra i 7 prodotti seed,"Navigazione + verifica testo (es. ""kiwi"")",17-06-2026 18:15:26,17-06-2026 18:15:27,"0,953s",ERROR
Start listener action : resetSeedBeforeTestCase,Chrome 149.0.7827.103,,,17-06-2026 18:15:26,17-06-2026 18:15:26,"0,002s",ERROR
"openBrowser("""")",Chrome 149.0.7827.103,,,17-06-2026 18:15:26,17-06-2026 18:15:27,"0,939s",PASSED
"navigateToUrl(base + ""ProductView.jsp"")",Chrome 149.0.7827.103,,,17-06-2026 18:15:27,17-06-2026 18:15:27,"0,002s",ERROR
,,,,,,,
Test Cases/Catalogo/TC_4.1_2,Chrome 149.0.7827.103,"Catalogo vuoto → messaggio

Richiede DB svuotato → manuale/opzionale, per non alterare la baseline",,17-06-2026 18:15:30,17-06-2026 18:15:31,"1,049s",ERROR
Start listener action : resetSeedBeforeTestCase,Chrome 149.0.7827.103,,,17-06-2026 18:15:30,17-06-2026 18:15:30,"0,002s",ERROR
"openBrowser("""")",Chrome 149.0.7827.103,,,17-06-2026 18:15:30,17-06-2026 18:15:31,"1,030s",PASSED
"navigateToUrl(base + ""loginForm.jsp"")",Chrome 149.0.7827.103,,,17-06-2026 18:15:31,17-06-2026 18:15:31,"0,003s",ERROR
,,,,,,,
Test Cases/Catalogo/TC_4.2_1,Chrome 149.0.7827.103,"Ordinare il catalogo per nome
Navigazione URL + verifica ordine",,17-06-2026 18:15:34,17-06-2026 18:15:34,"0,935s",ERROR
Start listener action : resetSeedBeforeTestCase,Chrome 149.0.7827.103,,,17-06-2026 18:15:34,17-06-2026 18:15:34,"0,001s",ERROR
"openBrowser("""")",Chrome 149.0.7827.103,,,17-06-2026 18:15:34,17-06-2026 18:15:34,"0,922s",PASSED
"navigateToUrl(base + ""ProductView.jsp"")",Chrome 149.0.7827.103,,,17-06-2026 18:15:34,17-06-2026 18:15:34,"0,001s",ERROR
,,,,,,,
Test Cases/Catalogo/TC_4.2_2,Chrome 149.0.7827.103,"Ordinare il catalogo per prezzo
Navigazione URL + verifica ordine",,17-06-2026 18:15:37,17-06-2026 18:15:38,"0,950s",ERROR
Start listener action : resetSeedBeforeTestCase,Chrome 149.0.7827.103,,,17-06-2026 18:15:37,17-06-2026 18:15:37,"0,002s",ERROR
