Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
takeScreenshot(),Chrome 148.0.7778.179,,,03-06-2026 16:23:48,03-06-2026 16:23:48,"0,373s",PASSED
"markWarning(""Robustezza: verificare se e' stato aggiunto un prodotto \""vuoto\"" (bean di default) al carrello."")",Chrome 148.0.7778.179,,,03-06-2026 16:23:48,03-06-2026 16:23:48,"0,004s",WARNING
closeBrowser(),Chrome 148.0.7778.179,,,03-06-2026 16:23:48,03-06-2026 16:23:49,"0,137s",PASSED
,,,,,,,
Test Cases/Carrello/TC_5.3_1,Chrome 148.0.7778.179,"Rimuovere dal carrello un prodotto presente
URL cart?action=deleteC&id=.. + verifica",,03-06-2026 16:23:49,03-06-2026 16:23:51,"2,451s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,03-06-2026 16:23:49,03-06-2026 16:23:49,"0,681s",PASSED
"navigateToUrl(base + ""cart?action=addC&id=2"")",Chrome 148.0.7778.179,,,03-06-2026 16:23:49,03-06-2026 16:23:50,"0,814s",PASSED
"navigateToUrl(base + ""cart?action=deleteC&id=2"")",Chrome 148.0.7778.179,,,03-06-2026 16:23:50,03-06-2026 16:23:50,"0,039s",PASSED
"navigateToUrl(base + ""CartView.jsp"")",Chrome 148.0.7778.179,,,03-06-2026 16:23:50,03-06-2026 16:23:50,"0,029s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,03-06-2026 16:23:50,03-06-2026 16:23:51,"0,498s",PASSED
"verifyTextNotPresent(""kiwi"", false)",Chrome 148.0.7778.179,,,03-06-2026 16:23:51,03-06-2026 16:23:51,"0,246s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,03-06-2026 16:23:51,03-06-2026 16:23:51,"0,112s",PASSED
,,,,,,,
Test Cases/Carrello/TC_5.3_2,Chrome 148.0.7778.179,"Rimuovere un prodotto non presente nel carrello
URL cart?action=deleteC&id=.. + verifica",,03-06-2026 16:23:51,03-06-2026 16:23:54,"3,145s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,03-06-2026 16:23:51,03-06-2026 16:23:52,"0,762s",PASSED
"navigateToUrl(base + ""cart?action=addC&id=2"")",Chrome 148.0.7778.179,,,03-06-2026 16:23:52,03-06-2026 16:23:53,"1,384s",PASSED
"navigateToUrl(base + ""cart?action=deleteC&id=3"")",Chrome 148.0.7778.179,,,03-06-2026 16:23:53,03-06-2026 16:23:53,"0,040s",PASSED
"navigateToUrl(base + ""CartView.jsp"")",Chrome 148.0.7778.179,,,03-06-2026 16:23:53,03-06-2026 16:23:53,"0,026s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,03-06-2026 16:23:53,03-06-2026 16:23:54,"0,503s",PASSED
"verifyTextPresent(""kiwi"", false)",Chrome 148.0.7778.179,,,03-06-2026 16:23:54,03-06-2026 16:23:54,"0,239s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,03-06-2026 16:23:54,03-06-2026 16:23:54,"0,163s",PASSED
,,,,,,,
Test Cases/Carrello/TC_5.4_1,Chrome 148.0.7778.179,"Aggiorna quantità a valore valido	
Form carrello: imposta qty + ""Aggiorna""",,03-06-2026 16:23:54,03-06-2026 16:24:01,"7,092s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,03-06-2026 16:23:54,03-06-2026 16:23:55,"0,996s",PASSED
"navigateToUrl(base + ""cart?action=addC&id=2"")",Chrome 148.0.7778.179,,,03-06-2026 16:23:55,03-06-2026 16:24:00,"5,078s",PASSED
"navigateToUrl(base + ""cart?action=aggiorna&id=2&quantita=3"")",Chrome 148.0.7778.179,,,03-06-2026 16:24:00,03-06-2026 16:24:00,"0,051s",PASSED
"navigateToUrl(base + ""CartView.jsp"")",Chrome 148.0.7778.179,,,03-06-2026 16:24:00,03-06-2026 16:24:00,"0,024s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,03-06-2026 16:24:00,03-06-2026 16:24:01,"0,488s",PASSED
"verifyTextPresent(""239.97"", false)",Chrome 148.0.7778.179,,,03-06-2026 16:24:01,03-06-2026 16:24:01,"0,243s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,03-06-2026 16:24:01,03-06-2026 16:24:01,"0,182s",PASSED
,,,,,,,
Test Cases/Carrello/TC_5.4_2,Chrome 148.0.7778.179,"Rifiuto con quantità inferiore a 1
vincolo client-side HTML5 → verifica manuale (Katalon non intercetta bene il blocco nativo del browser); annotare l'esito",,03-06-2026 16:24:01,03-06-2026 16:24:01,"0,018s",PASSED
"markWarning(""Caso manuale: nel carrello impostare quantita=0 e cliccare Aggiorna. Atteso: il browser blocca l'invio (min=1)."")",Chrome 148.0.7778.179,,,03-06-2026 16:24:01,03-06-2026 16:24:01,"0,001s",WARNING
,,,,,,,
Test Cases/Carrello/TC_5.4_3,Chrome 148.0.7778.179,"Rifiuto con quantità oltre la disponibilità
vincolo client-side HTML5 → verifica manuale (Katalon non intercetta bene il blocco nativo del browser); annotare l'esito",,03-06-2026 16:24:01,03-06-2026 16:24:01,"0,018s",PASSED
"markWarning(""Caso manuale: nel carrello impostare quantita=30 (stock 25) e cliccare Aggiorna. Atteso: il browser blocca l'invio (max=25). Robustezza: il server non valida la disponibilita'."")",Chrome 148.0.7778.179,,,03-06-2026 16:24:01,03-06-2026 16:24:01,"0,001s",WARNING
,,,,,,,
Test Cases/Carrello/TC_5.4_4,Chrome 148.0.7778.179,"Rifiuto con quantità non compilata
vincolo client-side HTML5 → verifica manuale (Katalon non intercetta bene il blocco nativo del browser); annotare l'esito",,03-06-2026 16:24:01,03-06-2026 16:24:01,"0,019s",PASSED
"markWarning(""Caso manuale: nel carrello svuotare il campo quantita e cliccare Aggiorna. Atteso: il browser blocca l'invio (required)."")",Chrome 148.0.7778.179,,,03-06-2026 16:24:01,03-06-2026 16:24:01,"0,003s",WARNING
,,,,,,,
Test Cases/Carrello/TC_5.4_5,Chrome 148.0.7778.179,"Rifiuto con quantità non numerica
vincolo client-side HTML5 → verifica manuale (Katalon non intercetta bene il blocco nativo del browser); annotare l'esito",,03-06-2026 16:24:01,03-06-2026 16:24:01,"0,019s",PASSED
"markWarning(""Caso manuale: nel carrello inserire quantita=abc e cliccare Aggiorna. Atteso: il browser blocca l'invio (type=number)."")",Chrome 148.0.7778.179,,,03-06-2026 16:24:01,03-06-2026 16:24:01,"0,001s",WARNING
