Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"openBrowser("""")",Chrome 148.0.7778.179,,,03-06-2026 17:09:31,03-06-2026 17:09:32,"0,836s",PASSED
"navigateToUrl(base + ""product?sort=nome;--"")",Chrome 148.0.7778.179,,,03-06-2026 17:09:32,03-06-2026 17:09:32,"0,051s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,03-06-2026 17:09:32,03-06-2026 17:09:32,"0,504s",PASSED
"markWarning(""Verifica sicurezza SQLi: il parametro sort non e' sanificato. Interpretare lo screenshot."")",Chrome 148.0.7778.179,,,03-06-2026 17:09:32,03-06-2026 17:09:32,"0,002s",WARNING
closeBrowser(),Chrome 148.0.7778.179,,,03-06-2026 17:09:32,03-06-2026 17:09:32,"0,107s",PASSED
,,,,,,,
Test Cases/Catalogo/TC_4.3_1,Chrome 148.0.7778.179,"Dettaglio prodotto id 2 (kiwi)
Click prodotto / URL + verifica nome+prezzo",,03-06-2026 17:09:32,03-06-2026 17:09:35,"3,018s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,03-06-2026 17:09:32,03-06-2026 17:09:33,"0,797s",PASSED
"navigateToUrl(base + ""details?action=read&id=2"")",Chrome 148.0.7778.179,,,03-06-2026 17:09:33,03-06-2026 17:09:34,"1,210s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,03-06-2026 17:09:34,03-06-2026 17:09:35,"0,291s",PASSED
"verifyTextPresent(""(?i)kiwi"", true)",Chrome 148.0.7778.179,,,03-06-2026 17:09:35,03-06-2026 17:09:35,"0,264s",PASSED
"verifyTextPresent(""79.99"", false)",Chrome 148.0.7778.179,,,03-06-2026 17:09:35,03-06-2026 17:09:35,"0,249s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,03-06-2026 17:09:35,03-06-2026 17:09:35,"0,175s",PASSED
,,,,,,,
Test Cases/Catalogo/TC_4.3_2,Chrome 148.0.7778.179,"Dettaglio id inesistente (999)	
URL + verifica (atteso robustezza → incident)",,03-06-2026 17:09:38,03-06-2026 17:09:41,"2,529s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,03-06-2026 17:09:38,03-06-2026 17:09:39,"0,603s",PASSED
"navigateToUrl(base + ""details?action=read&id=999"")",Chrome 148.0.7778.179,,,03-06-2026 17:09:39,03-06-2026 17:09:40,"1,505s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,03-06-2026 17:09:40,03-06-2026 17:09:41,"0,304s",PASSED
"markWarning(""Id inesistente (999): nessun null-check -> mostrato un prodotto di default. Interpretare lo screenshot (robustezza/TIR)."")",Chrome 148.0.7778.179,,,03-06-2026 17:09:41,03-06-2026 17:09:41,"0,000s",WARNING
closeBrowser(),Chrome 148.0.7778.179,,,03-06-2026 17:09:41,03-06-2026 17:09:41,"0,109s",PASSED
,,,,,,,
Test Cases/Catalogo/TC_4.3_3,Chrome 148.0.7778.179,"Dettaglio id non numerico (abc)	
URL + verifica errore 500 (incident)",,03-06-2026 17:09:44,03-06-2026 17:09:45,"1,565s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,03-06-2026 17:09:44,03-06-2026 17:09:44,"0,632s",PASSED
"navigateToUrl(base + ""details?action=read&id=abc"")",Chrome 148.0.7778.179,,,03-06-2026 17:09:44,03-06-2026 17:09:45,"0,282s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,03-06-2026 17:09:45,03-06-2026 17:09:45,"0,508s",PASSED
"markWarning(""Id non numerico (abc): NumberFormatException -> errore 500. Interpretare lo screenshot (robustezza/TIR)."")",Chrome 148.0.7778.179,,,03-06-2026 17:09:45,03-06-2026 17:09:45,"0,002s",WARNING
closeBrowser(),Chrome 148.0.7778.179,,,03-06-2026 17:09:45,03-06-2026 17:09:45,"0,135s",PASSED
,,,,,,,
Test Cases/Catalogo/TC_4.4_1,Chrome 148.0.7778.179,"Ricercare un prodotto per nome esatto
Digita nel campo ricerca + verifica dropdown",,03-06-2026 17:09:45,03-06-2026 17:09:50,"5,098s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,03-06-2026 17:09:45,03-06-2026 17:09:46,"0,885s",PASSED
"navigateToUrl(base + ""ProductView.jsp"")",Chrome 148.0.7778.179,,,03-06-2026 17:09:46,03-06-2026 17:09:47,"0,556s",PASSED
"setText(css(""#searchInput""), ""kiwi"")",Chrome 148.0.7778.179,,,03-06-2026 17:09:47,03-06-2026 17:09:47,"0,000s",PASSED
t = new com.kms.katalon.core.testobject.TestObject(sel),Chrome 148.0.7778.179,,,03-06-2026 17:09:47,03-06-2026 17:09:47,"0,005s",PASSED
"t.addProperty(""css"", EQUALS, sel)",Chrome 148.0.7778.179,,,03-06-2026 17:09:47,03-06-2026 17:09:47,"0,009s",PASSED
return t,Chrome 148.0.7778.179,,,03-06-2026 17:09:47,03-06-2026 17:09:47,"0,618s",PASSED
delay(2),Chrome 148.0.7778.179,,,03-06-2026 17:09:47,03-06-2026 17:09:49,"2,032s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,03-06-2026 17:09:49,03-06-2026 17:09:50,"0,471s",PASSED
"verifyTextPresent(""kiwi"", false)",Chrome 148.0.7778.179,,,03-06-2026 17:09:50,03-06-2026 17:09:50,"0,294s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,03-06-2026 17:09:50,03-06-2026 17:09:50,"0,164s",PASSED
,,,,,,,
Test Cases/Catalogo/TC_4.4_2,Chrome 148.0.7778.179,"Ricercare un prodotto per corrispondenza parziale
Digita nel campo ricerca + verifica dropdown",,03-06-2026 17:09:51,03-06-2026 17:10:18,"26,677s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,03-06-2026 17:09:51,03-06-2026 17:09:52,"0,940s",PASSED
