Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Carrello,Chrome 148.0.7778.179,,,08-06-2026 21:26:38,08-06-2026 21:28:30,"1m - 52,120s",FAILED
,,,,,,,
Test Cases/Carrello/TC_5.1_1,Chrome 148.0.7778.179,"Visualizzare il carrello contenente prodotti
Aggiungi → apri carrello → verifica",,08-06-2026 21:26:38,08-06-2026 21:26:46,"7,388s",PASSED
Start listener action : resetSeedBeforeTestCase,Chrome 148.0.7778.179,,,08-06-2026 21:26:38,08-06-2026 21:26:39,"0,392s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,08-06-2026 21:26:39,08-06-2026 21:26:42,"3,109s",PASSED
"navigateToUrl(base + ""cart?action=addC&id=2"")",Chrome 148.0.7778.179,,,08-06-2026 21:26:42,08-06-2026 21:26:43,"1,464s",PASSED
"navigateToUrl(base + ""CartView.jsp"")",Chrome 148.0.7778.179,,,08-06-2026 21:26:43,08-06-2026 21:26:44,"0,439s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,08-06-2026 21:26:44,08-06-2026 21:26:45,"0,596s",PASSED
"verifyTextPresent(""kiwi"", false)",Chrome 148.0.7778.179,,,08-06-2026 21:26:45,08-06-2026 21:26:45,"0,330s",PASSED
"verifyTextPresent(""79.99"", false)",Chrome 148.0.7778.179,,,08-06-2026 21:26:45,08-06-2026 21:26:45,"0,283s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,08-06-2026 21:26:45,08-06-2026 21:26:46,"0,689s",PASSED
,,,,,,,
Test Cases/Carrello/TC_5.1_2,Chrome 148.0.7778.179,"Visualizzare il carrello vuoto
Aggiungi → apri carrello → verifica",,08-06-2026 21:26:46,08-06-2026 21:26:53,"7,514s",PASSED
Start listener action : resetSeedBeforeTestCase,Chrome 148.0.7778.179,,,08-06-2026 21:26:46,08-06-2026 21:26:46,"0,120s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,08-06-2026 21:26:46,08-06-2026 21:26:48,"1,635s",PASSED
"navigateToUrl(base + ""CartView.jsp"")",Chrome 148.0.7778.179,,,08-06-2026 21:26:48,08-06-2026 21:26:52,"4,662s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,08-06-2026 21:26:52,08-06-2026 21:26:53,"0,464s",PASSED
"verifyTextPresent(""0.00"", false)",Chrome 148.0.7778.179,,,08-06-2026 21:26:53,08-06-2026 21:26:53,"0,323s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,08-06-2026 21:26:53,08-06-2026 21:26:53,"0,261s",PASSED
,,,,,,,
Test Cases/Carrello/TC_5.2_1,Chrome 148.0.7778.179,"Aggiungere al carrello un prodotto non ancora presente
URL cart?action=addC&id=.. + verifica",,08-06-2026 21:26:53,08-06-2026 21:26:57,"3,933s",PASSED
Start listener action : resetSeedBeforeTestCase,Chrome 148.0.7778.179,,,08-06-2026 21:26:53,08-06-2026 21:26:53,"0,120s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,08-06-2026 21:26:54,08-06-2026 21:26:55,"1,056s",PASSED
"navigateToUrl(base + ""cart?action=addC&id=2"")",Chrome 148.0.7778.179,,,08-06-2026 21:26:55,08-06-2026 21:26:56,"1,434s",PASSED
"navigateToUrl(base + ""CartView.jsp"")",Chrome 148.0.7778.179,,,08-06-2026 21:26:56,08-06-2026 21:26:56,"0,176s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,08-06-2026 21:26:56,08-06-2026 21:26:57,"0,550s",PASSED
"verifyTextPresent(""kiwi"", false)",Chrome 148.0.7778.179,,,08-06-2026 21:26:57,08-06-2026 21:26:57,"0,304s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,08-06-2026 21:26:57,08-06-2026 21:26:57,"0,236s",PASSED
,,,,,,,
Test Cases/Carrello/TC_5.2_2,Chrome 148.0.7778.179,"Aggiungere un prodotto già presente (sotto la disponibilità)
URL cart?action=addC&id=.. + verifica",,08-06-2026 21:26:57,08-06-2026 21:27:00,"3,059s",PASSED
Start listener action : resetSeedBeforeTestCase,Chrome 148.0.7778.179,,,08-06-2026 21:26:57,08-06-2026 21:26:57,"0,100s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,08-06-2026 21:26:57,08-06-2026 21:26:59,"1,096s",PASSED
"navigateToUrl(base + ""cart?action=addC&id=2"")",Chrome 148.0.7778.179,,,08-06-2026 21:26:59,08-06-2026 21:26:59,"0,497s",PASSED
"navigateToUrl(base + ""cart?action=addC&id=2"")",Chrome 148.0.7778.179,,,08-06-2026 21:26:59,08-06-2026 21:26:59,"0,120s",PASSED
"navigateToUrl(base + ""CartView.jsp"")",Chrome 148.0.7778.179,,,08-06-2026 21:26:59,08-06-2026 21:26:59,"0,065s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,08-06-2026 21:26:59,08-06-2026 21:27:00,"0,553s",PASSED
"verifyTextPresent(""kiwi"", false)",Chrome 148.0.7778.179,,,08-06-2026 21:27:00,08-06-2026 21:27:00,"0,293s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,08-06-2026 21:27:00,08-06-2026 21:27:00,"0,294s",PASSED
,,,,,,,
