Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyTextPresent(""kiwi"", false)",Chrome 148.0.7778.179,,,03-06-2026 15:17:05,03-06-2026 15:17:05,"0,324s",FAILED
,,,,,,,
Test Cases/Catalogo/TC_4.3_2,Chrome 148.0.7778.179,"Dettaglio id inesistente (999)	
URL + verifica (atteso robustezza → incident)",,03-06-2026 15:17:57,03-06-2026 15:18:22,"24,372s",FAILED
"openBrowser("""")",Chrome 148.0.7778.179,,,03-06-2026 15:17:57,03-06-2026 15:17:58,"0,725s",PASSED
"navigateToUrl(base + ""details?action=read&id=999"")",Chrome 148.0.7778.179,,,03-06-2026 15:17:58,03-06-2026 15:18:21,"23,043s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,03-06-2026 15:18:21,03-06-2026 15:18:21,"0,307s",PASSED
"verifyTextPresent(""prodotto non trovato"", false)",Chrome 148.0.7778.179,,,03-06-2026 15:18:21,03-06-2026 15:18:22,"0,289s",FAILED
,,,,,,,
Test Cases/Catalogo/TC_4.3_3,Chrome 148.0.7778.179,"Dettaglio id non numerico (abc)	
URL + verifica errore 500 (incident)",,03-06-2026 15:18:25,03-06-2026 15:18:26,"1,700s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,03-06-2026 15:18:25,03-06-2026 15:18:25,"0,751s",PASSED
"navigateToUrl(base + ""details?action=read&id=abc"")",Chrome 148.0.7778.179,,,03-06-2026 15:18:25,03-06-2026 15:18:25,"0,048s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,03-06-2026 15:18:25,03-06-2026 15:18:26,"0,502s",PASSED
"verifyTextNotPresent(""Exception"", false)",Chrome 148.0.7778.179,,,03-06-2026 15:18:26,03-06-2026 15:18:26,"0,249s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,03-06-2026 15:18:26,03-06-2026 15:18:26,"0,144s",PASSED
,,,,,,,
Test Cases/Catalogo/TC_4.4_1,Chrome 148.0.7778.179,"Ricercare un prodotto per nome esatto
Digita nel campo ricerca + verifica dropdown",,03-06-2026 15:18:26,03-06-2026 15:18:47,"20,463s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,03-06-2026 15:18:26,03-06-2026 15:18:27,"1,036s",PASSED
"navigateToUrl(base + ""ProductView.jsp"")",Chrome 148.0.7778.179,,,03-06-2026 15:18:27,03-06-2026 15:18:43,"15,852s",PASSED
"setText(css(""#searchInput""), ""kiwi"")",Chrome 148.0.7778.179,,,03-06-2026 15:18:43,03-06-2026 15:18:43,"0,002s",PASSED
t = new com.kms.katalon.core.testobject.TestObject(sel),Chrome 148.0.7778.179,,,03-06-2026 15:18:43,03-06-2026 15:18:43,"0,006s",PASSED
"t.addProperty(""css"", EQUALS, sel)",Chrome 148.0.7778.179,,,03-06-2026 15:18:43,03-06-2026 15:18:43,"0,004s",PASSED
return t,Chrome 148.0.7778.179,,,03-06-2026 15:18:43,03-06-2026 15:18:44,"0,624s",PASSED
delay(2),Chrome 148.0.7778.179,,,03-06-2026 15:18:44,03-06-2026 15:18:46,"2,028s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,03-06-2026 15:18:46,03-06-2026 15:18:46,"0,448s",PASSED
"verifyTextPresent(""kiwi"", false)",Chrome 148.0.7778.179,,,03-06-2026 15:18:46,03-06-2026 15:18:47,"0,241s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,03-06-2026 15:18:47,03-06-2026 15:18:47,"0,153s",PASSED
,,,,,,,
Test Cases/Catalogo/TC_4.4_2,Chrome 148.0.7778.179,"Ricercare un prodotto per corrispondenza parziale
Digita nel campo ricerca + verifica dropdown",,03-06-2026 15:18:47,03-06-2026 15:19:37,"49,927s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,03-06-2026 15:18:47,03-06-2026 15:18:48,"1,072s",PASSED
"navigateToUrl(base + ""ProductView.jsp"")",Chrome 148.0.7778.179,,,03-06-2026 15:18:48,03-06-2026 15:19:33,"45,323s",PASSED
"setText(css(""#searchInput""), ""voo"")",Chrome 148.0.7778.179,,,03-06-2026 15:19:33,03-06-2026 15:19:33,"0,000s",PASSED
t = new com.kms.katalon.core.testobject.TestObject(sel),Chrome 148.0.7778.179,,,03-06-2026 15:19:33,03-06-2026 15:19:33,"0,000s",PASSED
"t.addProperty(""css"", EQUALS, sel)",Chrome 148.0.7778.179,,,03-06-2026 15:19:33,03-06-2026 15:19:33,"0,002s",PASSED
return t,Chrome 148.0.7778.179,,,03-06-2026 15:19:33,03-06-2026 15:19:34,"0,604s",PASSED
delay(2),Chrome 148.0.7778.179,,,03-06-2026 15:19:34,03-06-2026 15:19:36,"2,013s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,03-06-2026 15:19:36,03-06-2026 15:19:36,"0,449s",PASSED
"verifyTextPresent(""voopoo"", false)",Chrome 148.0.7778.179,,,03-06-2026 15:19:36,03-06-2026 15:19:36,"0,259s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,03-06-2026 15:19:36,03-06-2026 15:19:37,"0,163s",PASSED
,,,,,,,
Test Cases/Catalogo/TC_4.4_3,Chrome 148.0.7778.179,"Ricerca senza corrispondenze
Digita nel campo ricerca + verifica dropdown",,03-06-2026 15:19:37,03-06-2026 15:19:58,"21,294s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,03-06-2026 15:19:37,03-06-2026 15:19:37,"0,770s",PASSED
"navigateToUrl(base + ""ProductView.jsp"")",Chrome 148.0.7778.179,,,03-06-2026 15:19:37,03-06-2026 15:19:54,"17,016s",PASSED
"setText(css(""#searchInput""), ""zzz"")",Chrome 148.0.7778.179,,,03-06-2026 15:19:54,03-06-2026 15:19:54,"0,002s",PASSED
t = new com.kms.katalon.core.testobject.TestObject(sel),Chrome 148.0.7778.179,,,03-06-2026 15:19:54,03-06-2026 15:19:54,"0,002s",PASSED
"t.addProperty(""css"", EQUALS, sel)",Chrome 148.0.7778.179,,,03-06-2026 15:19:54,03-06-2026 15:19:54,"0,000s",PASSED
return t,Chrome 148.0.7778.179,,,03-06-2026 15:19:54,03-06-2026 15:19:55,"0,609s",PASSED
delay(2),Chrome 148.0.7778.179,,,03-06-2026 15:19:55,03-06-2026 15:19:57,"2,017s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,03-06-2026 15:19:57,03-06-2026 15:19:58,"0,406s",PASSED
"verifyTextPresent(""Nessun risultato trovato"", false)",Chrome 148.0.7778.179,,,03-06-2026 15:19:58,03-06-2026 15:19:58,"0,246s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,03-06-2026 15:19:58,03-06-2026 15:19:58,"0,185s",PASSED
,,,,,,,
Test Cases/Catalogo/TC_4.4_4,Chrome 148.0.7778.179,"Comportamento con campo di ricerca vuoto
Digita nel campo ricerca + verifica dropdown",,03-06-2026 15:19:58,03-06-2026 15:20:41,"43,271s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,03-06-2026 15:19:58,03-06-2026 15:19:59,"0,766s",PASSED
"navigateToUrl(base + ""ProductView.jsp"")",Chrome 148.0.7778.179,,,03-06-2026 15:19:59,03-06-2026 15:20:37,"38,334s",PASSED
"setText(css(""#searchInput""), ""kiwi"")",Chrome 148.0.7778.179,,,03-06-2026 15:20:37,03-06-2026 15:20:37,"0,002s",PASSED
t = new com.kms.katalon.core.testobject.TestObject(sel),Chrome 148.0.7778.179,,,03-06-2026 15:20:37,03-06-2026 15:20:37,"0,001s",PASSED
"t.addProperty(""css"", EQUALS, sel)",Chrome 148.0.7778.179,,,03-06-2026 15:20:37,03-06-2026 15:20:37,"0,000s",PASSED
return t,Chrome 148.0.7778.179,,,03-06-2026 15:20:37,03-06-2026 15:20:38,"0,638s",PASSED
delay(1),Chrome 148.0.7778.179,,,03-06-2026 15:20:38,03-06-2026 15:20:39,"1,014s",PASSED
"setText(css(""#searchInput""), """")",Chrome 148.0.7778.179,,,03-06-2026 15:20:39,03-06-2026 15:20:39,"0,001s",PASSED
t = new com.kms.katalon.core.testobject.TestObject(sel),Chrome 148.0.7778.179,,,03-06-2026 15:20:39,03-06-2026 15:20:39,"0,000s",PASSED
"t.addProperty(""css"", EQUALS, sel)",Chrome 148.0.7778.179,,,03-06-2026 15:20:39,03-06-2026 15:20:39,"0,000s",PASSED
return t,Chrome 148.0.7778.179,,,03-06-2026 15:20:39,03-06-2026 15:20:39,"0,595s",PASSED
delay(1),Chrome 148.0.7778.179,,,03-06-2026 15:20:39,03-06-2026 15:20:40,"1,004s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,03-06-2026 15:20:40,03-06-2026 15:20:41,"0,450s",PASSED
"verifyTextNotPresent(""Nessun risultato trovato"", false)",Chrome 148.0.7778.179,,,03-06-2026 15:20:41,03-06-2026 15:20:41,"0,274s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,03-06-2026 15:20:41,03-06-2026 15:20:41,"0,148s",PASSED
