Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
closeBrowser(),Chrome 148.0.7778.179,,,08-06-2026 13:21:27,08-06-2026 13:21:27,"0,195s",PASSED
,,,,,,,
Test Cases/Carrello/TC_5.2_4,Chrome 148.0.7778.179,"Aggiungere al carrello un id inesistente
URL cart?action=addC&id=.. + verifica",,08-06-2026 13:21:51,08-06-2026 13:21:59,"8,135s",FAILED
Start listener action : resetSeedBeforeTestCase,Chrome 148.0.7778.179,,,08-06-2026 13:21:51,08-06-2026 13:21:51,"0,093s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,08-06-2026 13:21:51,08-06-2026 13:21:52,"0,873s",PASSED
"navigateToUrl(base + ""cart?action=addC&id=999"")",Chrome 148.0.7778.179,,,08-06-2026 13:21:52,08-06-2026 13:21:54,"1,408s",PASSED
delay(2),Chrome 148.0.7778.179,,,08-06-2026 13:21:54,08-06-2026 13:21:56,"2,018s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,08-06-2026 13:21:56,08-06-2026 13:21:56,"0,382s",PASSED
"verifyElementNotPresent(css("".box""), 2, CONTINUE_ON_FAILURE)",Chrome 148.0.7778.179,,,08-06-2026 13:21:56,08-06-2026 13:21:56,"0,001s",PASSED
t = new com.kms.katalon.core.testobject.TestObject(sel),Chrome 148.0.7778.179,,,08-06-2026 13:21:56,08-06-2026 13:21:56,"0,003s",PASSED
"t.addProperty(""css"", EQUALS, sel)",Chrome 148.0.7778.179,,,08-06-2026 13:21:56,08-06-2026 13:21:56,"0,003s",PASSED
return t,Chrome 148.0.7778.179,,,08-06-2026 13:21:56,08-06-2026 13:21:59,"2,907s",FAILED
closeBrowser(),Chrome 148.0.7778.179,,,08-06-2026 13:21:59,08-06-2026 13:21:59,"0,399s",PASSED
,,,,,,,
Test Cases/Carrello/TC_5.3_1,Chrome 148.0.7778.179,"Rimuovere dal carrello un prodotto presente
URL cart?action=deleteC&id=.. + verifica",,08-06-2026 13:21:59,08-06-2026 13:22:03,"3,797s",PASSED
Start listener action : resetSeedBeforeTestCase,Chrome 148.0.7778.179,,,08-06-2026 13:21:59,08-06-2026 13:21:59,"0,103s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,08-06-2026 13:22:00,08-06-2026 13:22:00,"0,905s",PASSED
"navigateToUrl(base + ""cart?action=addC&id=2"")",Chrome 148.0.7778.179,,,08-06-2026 13:22:00,08-06-2026 13:22:02,"1,408s",PASSED
"navigateToUrl(base + ""cart?action=deleteC&id=2"")",Chrome 148.0.7778.179,,,08-06-2026 13:22:02,08-06-2026 13:22:02,"0,040s",PASSED
"navigateToUrl(base + ""CartView.jsp"")",Chrome 148.0.7778.179,,,08-06-2026 13:22:02,08-06-2026 13:22:02,"0,033s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,08-06-2026 13:22:02,08-06-2026 13:22:02,"0,497s",PASSED
"verifyTextNotPresent(""kiwi"", false)",Chrome 148.0.7778.179,,,08-06-2026 13:22:02,08-06-2026 13:22:03,"0,360s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,08-06-2026 13:22:03,08-06-2026 13:22:03,"0,282s",PASSED
,,,,,,,
Test Cases/Carrello/TC_5.3_2,Chrome 148.0.7778.179,"Rimuovere un prodotto non presente nel carrello
URL cart?action=deleteC&id=.. + verifica",,08-06-2026 13:22:03,08-06-2026 13:22:06,"2,579s",PASSED
Start listener action : resetSeedBeforeTestCase,Chrome 148.0.7778.179,,,08-06-2026 13:22:03,08-06-2026 13:22:03,"0,095s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,08-06-2026 13:22:03,08-06-2026 13:22:04,"0,856s",PASSED
"navigateToUrl(base + ""cart?action=addC&id=2"")",Chrome 148.0.7778.179,,,08-06-2026 13:22:04,08-06-2026 13:22:05,"0,398s",PASSED
"navigateToUrl(base + ""cart?action=deleteC&id=3"")",Chrome 148.0.7778.179,,,08-06-2026 13:22:05,08-06-2026 13:22:05,"0,062s",PASSED
"navigateToUrl(base + ""CartView.jsp"")",Chrome 148.0.7778.179,,,08-06-2026 13:22:05,08-06-2026 13:22:05,"0,038s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,08-06-2026 13:22:05,08-06-2026 13:22:05,"0,513s",PASSED
"verifyTextPresent(""kiwi"", false)",Chrome 148.0.7778.179,,,08-06-2026 13:22:05,08-06-2026 13:22:06,"0,308s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,08-06-2026 13:22:06,08-06-2026 13:22:06,"0,143s",PASSED
,,,,,,,
Test Cases/Carrello/TC_5.4_1,Chrome 148.0.7778.179,"Aggiorna quantità a valore valido	
Form carrello: imposta qty + ""Aggiorna""",,08-06-2026 13:22:06,08-06-2026 13:22:09,"3,653s",PASSED
Start listener action : resetSeedBeforeTestCase,Chrome 148.0.7778.179,,,08-06-2026 13:22:06,08-06-2026 13:22:06,"0,088s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,08-06-2026 13:22:06,08-06-2026 13:22:07,"0,864s",PASSED
"navigateToUrl(base + ""cart?action=addC&id=2"")",Chrome 148.0.7778.179,,,08-06-2026 13:22:07,08-06-2026 13:22:08,"1,331s",PASSED
"navigateToUrl(base + ""cart?action=aggiorna&id=2&quantita=3"")",Chrome 148.0.7778.179,,,08-06-2026 13:22:08,08-06-2026 13:22:08,"0,040s",PASSED
"navigateToUrl(base + ""CartView.jsp"")",Chrome 148.0.7778.179,,,08-06-2026 13:22:08,08-06-2026 13:22:08,"0,030s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,08-06-2026 13:22:08,08-06-2026 13:22:09,"0,532s",PASSED
"verifyTextPresent(""239.97"", false)",Chrome 148.0.7778.179,,,08-06-2026 13:22:09,08-06-2026 13:22:09,"0,317s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,08-06-2026 13:22:09,08-06-2026 13:22:09,"0,305s",PASSED
,,,,,,,
Test Cases/Carrello/TC_5.4_2,Chrome 148.0.7778.179,"Rifiuto con quantità inferiore a 1
vincolo client-side HTML5 → verifica manuale (Katalon non intercetta bene il blocco nativo del browser); annotare l'esito",,08-06-2026 13:22:09,08-06-2026 13:22:17,"7,625s",PASSED
Start listener action : resetSeedBeforeTestCase,Chrome 148.0.7778.179,,,08-06-2026 13:22:09,08-06-2026 13:22:09,"0,129s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,08-06-2026 13:22:10,08-06-2026 13:22:11,"0,951s",PASSED
"navigateToUrl(base + ""cart?action=addC&id=2"")",Chrome 148.0.7778.179,,,08-06-2026 13:22:11,08-06-2026 13:22:12,"1,346s",PASSED
delay(1),Chrome 148.0.7778.179,,,08-06-2026 13:22:12,08-06-2026 13:22:13,"1,023s",PASSED
delay(1),Chrome 148.0.7778.179,,,08-06-2026 13:22:13,08-06-2026 13:22:14,"1,022s",PASSED
"executeJavaScript(""document.querySelector('[name=\""quantita\""]').value = '0';"", null)",Chrome 148.0.7778.179,,,08-06-2026 13:22:14,08-06-2026 13:22:14,"0,070s",PASSED
"valid = executeJavaScript(""return document.querySelector('[name=\""quantita\""]').checkValidity()"", null)",Chrome 148.0.7778.179,,,08-06-2026 13:22:14,08-06-2026 13:22:14,"0,017s",PASSED
"verifyEqual(valid, false)",Chrome 148.0.7778.179,,,08-06-2026 13:22:14,08-06-2026 13:22:14,"0,048s",PASSED
"click(css(""button.btn""))",Chrome 148.0.7778.179,,,08-06-2026 13:22:14,08-06-2026 13:22:14,"0,005s",PASSED
t = new com.kms.katalon.core.testobject.TestObject(sel),Chrome 148.0.7778.179,,,08-06-2026 13:22:14,08-06-2026 13:22:14,"0,005s",PASSED
"t.addProperty(""css"", EQUALS, sel)",Chrome 148.0.7778.179,,,08-06-2026 13:22:14,08-06-2026 13:22:14,"0,003s",PASSED
return t,Chrome 148.0.7778.179,,,08-06-2026 13:22:14,08-06-2026 13:22:15,"0,673s",PASSED
delay(1),Chrome 148.0.7778.179,,,08-06-2026 13:22:15,08-06-2026 13:22:16,"1,008s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,08-06-2026 13:22:16,08-06-2026 13:22:16,"0,336s",PASSED
"verifyTextPresent(""CARRELLO"", false)",Chrome 148.0.7778.179,,,08-06-2026 13:22:16,08-06-2026 13:22:17,"0,290s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,08-06-2026 13:22:17,08-06-2026 13:22:17,"0,347s",PASSED
,,,,,,,
Test Cases/Carrello/TC_5.4_3,Chrome 148.0.7778.179,"Rifiuto con quantità oltre la disponibilità
vincolo client-side HTML5 → verifica manuale (Katalon non intercetta bene il blocco nativo del browser); annotare l'esito",,08-06-2026 13:22:34,08-06-2026 13:22:40,"6,226s",FAILED
Start listener action : resetSeedBeforeTestCase,Chrome 148.0.7778.179,,,08-06-2026 13:22:34,08-06-2026 13:22:34,"0,115s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,08-06-2026 13:22:34,08-06-2026 13:22:35,"0,875s",PASSED
"navigateToUrl(base + ""cart?action=addC&id=2"")",Chrome 148.0.7778.179,,,08-06-2026 13:22:35,08-06-2026 13:22:36,"1,373s",PASSED
delay(1),Chrome 148.0.7778.179,,,08-06-2026 13:22:36,08-06-2026 13:22:37,"1,019s",PASSED
"navigateToUrl(base + ""cart?action=aggiorna&id=2&quantita=30"")",Chrome 148.0.7778.179,,,08-06-2026 13:22:37,08-06-2026 13:22:37,"0,073s",PASSED
delay(2),Chrome 148.0.7778.179,,,08-06-2026 13:22:37,08-06-2026 13:22:39,"2,010s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,08-06-2026 13:22:39,08-06-2026 13:22:40,"0,391s",PASSED
"qta = executeJavaScript(""return document.querySelector('[name=\""quantita\""]').value"", null)",Chrome 148.0.7778.179,,,08-06-2026 13:22:40,08-06-2026 13:22:40,"0,019s",PASSED
"verifyEqual(Integer.parseInt(qta.toString()) <= 25, true, CONTINUE_ON_FAILURE)",Chrome 148.0.7778.179,,,08-06-2026 13:22:40,08-06-2026 13:22:40,"0,006s",FAILED
closeBrowser(),Chrome 148.0.7778.179,,,08-06-2026 13:22:40,08-06-2026 13:22:40,"0,304s",PASSED
,,,,,,,
Test Cases/Carrello/TC_5.4_4,Chrome 148.0.7778.179,"Rifiuto con quantità non compilata
vincolo client-side HTML5 → verifica manuale (Katalon non intercetta bene il blocco nativo del browser); annotare l'esito",,08-06-2026 13:22:40,08-06-2026 13:22:46,"6,336s",PASSED
Start listener action : resetSeedBeforeTestCase,Chrome 148.0.7778.179,,,08-06-2026 13:22:40,08-06-2026 13:22:40,"0,099s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,08-06-2026 13:22:40,08-06-2026 13:22:41,"0,882s",PASSED
"navigateToUrl(base + ""cart?action=addC&id=2"")",Chrome 148.0.7778.179,,,08-06-2026 13:22:41,08-06-2026 13:22:42,"0,377s",PASSED
delay(1),Chrome 148.0.7778.179,,,08-06-2026 13:22:42,08-06-2026 13:22:43,"1,009s",PASSED
delay(1),Chrome 148.0.7778.179,,,08-06-2026 13:22:43,08-06-2026 13:22:44,"1,022s",PASSED
"executeJavaScript(""document.querySelector('[name=\""quantita\""]').value = '';"", null)",Chrome 148.0.7778.179,,,08-06-2026 13:22:44,08-06-2026 13:22:44,"0,037s",PASSED
"valid = executeJavaScript(""return document.querySelector('[name=\""quantita\""]').checkValidity()"", null)",Chrome 148.0.7778.179,,,08-06-2026 13:22:44,08-06-2026 13:22:44,"0,037s",PASSED
"verifyEqual(valid, false)",Chrome 148.0.7778.179,,,08-06-2026 13:22:44,08-06-2026 13:22:44,"0,006s",PASSED
"click(css(""button.btn""))",Chrome 148.0.7778.179,,,08-06-2026 13:22:44,08-06-2026 13:22:44,"0,001s",PASSED
t = new com.kms.katalon.core.testobject.TestObject(sel),Chrome 148.0.7778.179,,,08-06-2026 13:22:44,08-06-2026 13:22:44,"0,003s",PASSED
"t.addProperty(""css"", EQUALS, sel)",Chrome 148.0.7778.179,,,08-06-2026 13:22:44,08-06-2026 13:22:44,"0,003s",PASSED
return t,Chrome 148.0.7778.179,,,08-06-2026 13:22:44,08-06-2026 13:22:44,"0,581s",PASSED
delay(1),Chrome 148.0.7778.179,,,08-06-2026 13:22:44,08-06-2026 13:22:45,"1,009s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,08-06-2026 13:22:45,08-06-2026 13:22:46,"0,367s",PASSED
"verifyTextPresent(""CARRELLO"", false)",Chrome 148.0.7778.179,,,08-06-2026 13:22:46,08-06-2026 13:22:46,"0,299s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,08-06-2026 13:22:46,08-06-2026 13:22:46,"0,289s",PASSED
,,,,,,,
Test Cases/Carrello/TC_5.4_5,Chrome 148.0.7778.179,"Rifiuto con quantità non numerica
vincolo client-side HTML5 → verifica manuale (Katalon non intercetta bene il blocco nativo del browser); annotare l'esito",,08-06-2026 13:22:46,08-06-2026 13:22:54,"7,386s",PASSED
Start listener action : resetSeedBeforeTestCase,Chrome 148.0.7778.179,,,08-06-2026 13:22:46,08-06-2026 13:22:47,"0,100s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,08-06-2026 13:22:47,08-06-2026 13:22:48,"0,879s",PASSED
"navigateToUrl(base + ""cart?action=addC&id=2"")",Chrome 148.0.7778.179,,,08-06-2026 13:22:48,08-06-2026 13:22:49,"1,481s",PASSED
delay(1),Chrome 148.0.7778.179,,,08-06-2026 13:22:49,08-06-2026 13:22:50,"1,004s",PASSED
delay(1),Chrome 148.0.7778.179,,,08-06-2026 13:22:50,08-06-2026 13:22:51,"1,022s",PASSED
"executeJavaScript(""document.querySelector('[name=\""quantita\""]').value = 'abc';"", null)",Chrome 148.0.7778.179,,,08-06-2026 13:22:51,08-06-2026 13:22:51,"0,032s",PASSED
"valid = executeJavaScript(""return document.querySelector('[name=\""quantita\""]').checkValidity()"", null)",Chrome 148.0.7778.179,,,08-06-2026 13:22:51,08-06-2026 13:22:51,"0,027s",PASSED
"verifyEqual(valid, false)",Chrome 148.0.7778.179,,,08-06-2026 13:22:51,08-06-2026 13:22:51,"0,007s",PASSED
"click(css(""button.btn""))",Chrome 148.0.7778.179,,,08-06-2026 13:22:51,08-06-2026 13:22:51,"0,003s",PASSED
t = new com.kms.katalon.core.testobject.TestObject(sel),Chrome 148.0.7778.179,,,08-06-2026 13:22:51,08-06-2026 13:22:51,"0,003s",PASSED
"t.addProperty(""css"", EQUALS, sel)",Chrome 148.0.7778.179,,,08-06-2026 13:22:51,08-06-2026 13:22:51,"0,004s",PASSED
return t,Chrome 148.0.7778.179,,,08-06-2026 13:22:51,08-06-2026 13:22:52,"0,499s",PASSED
delay(1),Chrome 148.0.7778.179,,,08-06-2026 13:22:52,08-06-2026 13:22:53,"1,008s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,08-06-2026 13:22:53,08-06-2026 13:22:53,"0,379s",PASSED
"verifyTextPresent(""CARRELLO"", false)",Chrome 148.0.7778.179,,,08-06-2026 13:22:53,08-06-2026 13:22:53,"0,307s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,08-06-2026 13:22:53,08-06-2026 13:22:54,"0,309s",PASSED
