Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Carrello,Chrome 148.0.7778.179,,,12-06-2026 13:14:49,12-06-2026 13:15:46,"57,315s",PASSED
,,,,,,,
Test Cases/Carrello/TC_5.1_1,Chrome 148.0.7778.179,"Visualizzare il carrello contenente prodotti
Aggiungi → apri carrello → verifica",,12-06-2026 13:14:49,12-06-2026 13:14:55,"5,321s",PASSED
Start listener action : resetSeedBeforeTestCase,Chrome 148.0.7778.179,,,12-06-2026 13:14:49,12-06-2026 13:14:50,"0,276s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,12-06-2026 13:14:50,12-06-2026 13:14:52,"2,219s",PASSED
"navigateToUrl(base + ""cart?action=addC&id=2"")",Chrome 148.0.7778.179,,,12-06-2026 13:14:52,12-06-2026 13:14:53,"1,470s",PASSED
"navigateToUrl(base + ""CartView.jsp"")",Chrome 148.0.7778.179,,,12-06-2026 13:14:53,12-06-2026 13:14:53,"0,036s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,12-06-2026 13:14:53,12-06-2026 13:14:54,"0,574s",PASSED
"verifyTextPresent(""kiwi"", false)",Chrome 148.0.7778.179,,,12-06-2026 13:14:54,12-06-2026 13:14:54,"0,272s",PASSED
"verifyTextPresent(""79.99"", false)",Chrome 148.0.7778.179,,,12-06-2026 13:14:54,12-06-2026 13:14:54,"0,233s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,12-06-2026 13:14:54,12-06-2026 13:14:55,"0,173s",PASSED
,,,,,,,
Test Cases/Carrello/TC_5.1_2,Chrome 148.0.7778.179,"Visualizzare il carrello vuoto
Aggiungi → apri carrello → verifica",,12-06-2026 13:14:55,12-06-2026 13:14:57,"2,135s",PASSED
Start listener action : resetSeedBeforeTestCase,Chrome 148.0.7778.179,,,12-06-2026 13:14:55,12-06-2026 13:14:55,"0,090s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,12-06-2026 13:14:55,12-06-2026 13:14:56,"0,855s",PASSED
"navigateToUrl(base + ""CartView.jsp"")",Chrome 148.0.7778.179,,,12-06-2026 13:14:56,12-06-2026 13:14:56,"0,361s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,12-06-2026 13:14:56,12-06-2026 13:14:56,"0,408s",PASSED
"verifyTextPresent(""0.00"", false)",Chrome 148.0.7778.179,,,12-06-2026 13:14:56,12-06-2026 13:14:57,"0,259s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,12-06-2026 13:14:57,12-06-2026 13:14:57,"0,125s",PASSED
,,,,,,,
Test Cases/Carrello/TC_5.2_1,Chrome 148.0.7778.179,"Aggiungere al carrello un prodotto non ancora presente
URL cart?action=addC&id=.. + verifica",,12-06-2026 13:14:57,12-06-2026 13:14:59,"2,357s",PASSED
Start listener action : resetSeedBeforeTestCase,Chrome 148.0.7778.179,,,12-06-2026 13:14:57,12-06-2026 13:14:57,"0,085s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,12-06-2026 13:14:57,12-06-2026 13:14:58,"0,814s",PASSED
"navigateToUrl(base + ""cart?action=addC&id=2"")",Chrome 148.0.7778.179,,,12-06-2026 13:14:58,12-06-2026 13:14:58,"0,497s",PASSED
"navigateToUrl(base + ""CartView.jsp"")",Chrome 148.0.7778.179,,,12-06-2026 13:14:58,12-06-2026 13:14:58,"0,037s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,12-06-2026 13:14:58,12-06-2026 13:14:59,"0,505s",PASSED
"verifyTextPresent(""kiwi"", false)",Chrome 148.0.7778.179,,,12-06-2026 13:14:59,12-06-2026 13:14:59,"0,252s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,12-06-2026 13:14:59,12-06-2026 13:14:59,"0,129s",PASSED
,,,,,,,
Test Cases/Carrello/TC_5.2_2,Chrome 148.0.7778.179,"Aggiungere un prodotto già presente (sotto la disponibilità)
URL cart?action=addC&id=.. + verifica",,12-06-2026 13:14:59,12-06-2026 13:15:02,"3,337s",PASSED
Start listener action : resetSeedBeforeTestCase,Chrome 148.0.7778.179,,,12-06-2026 13:14:59,12-06-2026 13:14:59,"0,091s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,12-06-2026 13:14:59,12-06-2026 13:15:00,"0,822s",PASSED
"navigateToUrl(base + ""cart?action=addC&id=2"")",Chrome 148.0.7778.179,,,12-06-2026 13:15:00,12-06-2026 13:15:01,"1,388s",PASSED
"navigateToUrl(base + ""cart?action=addC&id=2"")",Chrome 148.0.7778.179,,,12-06-2026 13:15:01,12-06-2026 13:15:02,"0,043s",PASSED
"navigateToUrl(base + ""CartView.jsp"")",Chrome 148.0.7778.179,,,12-06-2026 13:15:02,12-06-2026 13:15:02,"0,031s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,12-06-2026 13:15:02,12-06-2026 13:15:02,"0,522s",PASSED
"verifyTextPresent(""kiwi"", false)",Chrome 148.0.7778.179,,,12-06-2026 13:15:02,12-06-2026 13:15:02,"0,248s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,12-06-2026 13:15:02,12-06-2026 13:15:02,"0,158s",PASSED
,,,,,,,
Test Cases/Carrello/TC_5.2_3,Chrome 148.0.7778.179,"Aggiungere un prodotto già presente alla quantità massima disponibile
URL cart?action=addC&id=.. + verifica",,12-06-2026 13:15:02,12-06-2026 13:15:06,"3,563s",PASSED
Start listener action : resetSeedBeforeTestCase,Chrome 148.0.7778.179,,,12-06-2026 13:15:02,12-06-2026 13:15:03,"0,091s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,12-06-2026 13:15:03,12-06-2026 13:15:03,"0,840s",PASSED
"for ([i = 0, i < 6, (i++)])",Chrome 148.0.7778.179,,,12-06-2026 13:15:03,12-06-2026 13:15:05,"1,652s",PASSED
"navigateToUrl(base + ""CartView.jsp"")",Chrome 148.0.7778.179,,,12-06-2026 13:15:05,12-06-2026 13:15:05,"0,031s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,12-06-2026 13:15:05,12-06-2026 13:15:06,"0,489s",PASSED
"verifyTextPresent(""voopoo"", false)",Chrome 148.0.7778.179,,,12-06-2026 13:15:06,12-06-2026 13:15:06,"0,249s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,12-06-2026 13:15:06,12-06-2026 13:15:06,"0,163s",PASSED
,,,,,,,
